PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,Active SAC,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,FACE Liaison Name,FACE Liaison Email,FACE Liaison Phone Number,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
3847,N/A,421899003847,126515001,1010,101,JOHN BARTRAM HIGH SCHOOL,John Bartram High School,"Bartram, John High School",Bartram,1939,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.92149737, -75.23405562",N/A,2401 S. 67TH ST.,PHILADELPHIA,PA,19142,215-400-8100,215-400-8101,http://philasd.org/bartram/,DAMOND WARREN,Network 13,CHERYL PROCTOR,LuQman Abdullah,labdullah@philasd.org,215-400-5852,0,0,0,0,0,0,0,0,0,1,1,1,1
3860,N/A,421899003860,126515001,1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,West Philadelphia High School,West Philadelphia,1911,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2011-2012,N/A,TBA,1,TBA,TBA,3,"39.958110, -75.219654",N/A,4901 CHESTNUT ST.,PHILADELPHIA,PA,19139,215-400-7900,215-400-7901,http://philasd.org/wphs,MARY DEAN,Acceleration,ERIC BECOATS,Larry Pearson,lpearson@philasd.org,215-400-3910,0,0,0,0,0,0,0,0,0,1,1,1,1
7903,N/A,421899000993,126515001,1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,High School of the Future,HS of Future,2006,High,Citywide,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,4,"39.97465766, -75.2047566",N/A,4021 PARKSIDE AVE.,PHILADELPHIA,PA,19104,215-400-7790,215-400-7791,http://philasd.org/sof/,RICHARD SHERIN,Network 1,DEB CARRERA,,,,0,0,0,0,0,0,0,0,0,1,1,1,1
7780,N/A,421899000765,126515001,1050,105,PAUL ROBESON HIGH SCHOOL,Paul Robeson High School for Human Services,"Robeson, Paul High School for Human Services",Robeson,2003,High,Citywide,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.95679553, -75.20476311",N/A,4125 LUDLOW ST.,PHILADELPHIA,PA,19104,215-400-7780,215-400-7781,http://philasd.org/robeson,RICHARD GORDON,Network 1,DEB CARRERA,Toni-Ann Phillips,tsphillips@philasd.org,215-400-5899,0,0,0,0,0,0,0,0,0,1,1,1,1
7245,N/A,421899003825,126515001,1100,110,SAYRE HIGH SCHOOL,William L. Sayre High School,"Sayre, William L. High School",Sayre,1950,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.95759354, -75.23859405",N/A,5800 WALNUT ST.,PHILADELPHIA,PA,19139,215-400-7800,215-400-7801,http://philasd.org/sayre/,JAMIE EBERLE,Network 13,CHERYL PROCTOR,Angela Butler,abutler@philasd.org,215-400-5856,0,0,0,0,0,0,0,0,0,1,1,1,1
8297,N/A,421899007496,126515001,1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden School,"Tilden, William T. Middle School",Tilden,1927,Middle,Neighborhood,05-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,School Redesign Initiative,2015-2016,N/A,TBA,1,TBA,TBA,2,"39.92093619, -75.23227632",N/A,6601 ELMWOOD AVE.,PHILADELPHIA,PA,19142,215-400-8170,215-400-8171,http://philasd.org/tilden,BRIAN JOHNSON,Network 10,JESSICA RAMOS,Angela Butler,abutler@philasd.org,215-400-5856,0,0,0,0,0,1,1,1,1,0,0,0,0
7815,N/A,421899000830,126515001,1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,Motivation High School,Motivation,2004,High,Special Admit,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,3,"39.94453199, -75.24184422",N/A,5900 BALTIMORE AVE.,PHILADELPHIA,PA,19143,215-400-7930,215-400-7931,http://philasd.org/motivationhs,RENNU TELI,Network 1,DEB CARRERA,Krystal Clark,klclark@philasd.org,215-400-5857,0,0,0,0,0,0,0,0,0,1,1,1,1
8029,N/A,421899006869,126515001,1200,120,JOHN BARRY ELEMENTARY SCHOOL,John Barry School,"Barry, John Elementary School",Barry,2007,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2013-2014,N/A,TBA,1,TBA,TBA,4,"39.96437494, -75.23860376",N/A,5900 RACE ST.,PHILADELPHIA,PA,19139,215-400-7640,215-400-7641,http://philasd.org/barry,DERRICK HARDY,Acceleration,ERIC BECOATS,Jessica Freeman,jfreeman@philasd.org,215-471-2744,1,1,1,1,1,1,1,1,1,0,0,0,0
3601,N/A,421899003601,126515001,1230,123,"BRYANT, WILLIAM C. SCHOOL",William C. Bryant School,"Bryant, William C. School",Bryant,1903,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,Acceleration,2013-2014,N/A,TBA,1,TBA,TBA,3,"39.952687, -75.243691",N/A,6001 CEDAR AVE.,PHILADELPHIA,PA,19143,215-400-7910,215-400-7911,http://philasd.org/bryant/,PAULETTE GADDY,Acceleration,ERIC BECOATS,Diane Hayes,dihayes@philasd.org,215-471-2910,1,1,1,1,1,1,1,1,1,0,0,0,0
3602,N/A,421899003602,126515001,1250,125,J. W. CATHARINE SCHOOL,Joseph W. Catharine School,"Catharine, Joseph W. School",Catharine,1937,Elementary,Neighborhood,00-05,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,N/A,N/A,N/A,N/A,TBA,1,TBA,TBA,2,"39.927435, -75.239911",N/A,6600 CHESTER AVE.,PHILADELPHIA,PA,19142,215-400-8150,215-400-8151,http://philasd.org/catharine,LISA WILMER,Network 12,RIKKI HUNT-TAYLOR,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,0,0,0,0,0,0,0
